"","Forest_A1","Forest_A2","Forest_B1","Forest_B2","Forest_C1","Forest_C2","Forest_Edge_Interior_A1","Forest_Edge_Interior_A2","Forest_Edge_Interior_B1","Forest_Edge_Interior_B2","Forest_Edge_Interior_C1","Forest_Edge_Interior_C2","Forest_Edge_Exterior_A1","Forest_Edge_Exterior_A2","Forest_Edge_Exterior_B1","Forest_Edge_Exterior_B2","Forest_Edge_Exterior_C1","Forest_Edge_Exterior_C2","Pioneer_Near_A1","Pioneer_Near_A2","Pioneer_Near_B1","Pioneer_Near_B2","Pioneer_Near_C1","Pioneer_Near_C2","SE4626_J4816","SE4627_J4816","SE4628_J4816","SE4629_J4816","SE4630_J4816","SE4631_J4816","Grass_Near_A1","Grass_Near_A2","Grass_Near_B1","Grass_Near_B2","Grass_Near_C1","Grass_Near_C2","UMNR_A1","UMNR_A2","UMNR_B1","UMNR_B2","UMNR_C1","UMNR_C2","Grass_Far_A2","Grass_Far_B1","Grass_Far_B2","Grass_Far_C1","Grass_Far_C2"
"Algal Parasite--Leaf Saprotroph-Wood Saprotroph",0,0,15,7,16,17,0,7,2,0,15,0,0,5,0,0,0,0,7,11,7,0,8,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph",13,19,86,33,34,13,5,11,27,49,43,49,17,103,13,31,101,44,0,23,7,11,73,33,7,6,0,0,0,0,33,21,54,27,30,14,6,168,16,6,29,28,72,11,54,36,96
"Animal Pathogen",3,0,80,24,7,15,7,0,0,8,39,13,0,14,3,12,4,2,0,16,3,9,0,0,2,0,0,0,0,0,3,73,0,0,0,0,8,0,8,8,0,5,7,0,5,3,3
"Animal Pathogen-Endophyte-Epiphyte-Fungal Parasite-Plant Pathogen-Wood Saprotroph",168,142,88,59,59,85,195,64,161,137,181,65,173,95,100,117,85,178,134,152,45,125,284,98,97,84,63,108,85,83,119,133,82,103,105,38,70,35,27,30,23,69,71,58,146,63,178
"Animal Pathogen-Fungal Parasite-Undefined Saprotroph",93,57,39,41,38,62,25,15,33,16,37,19,142,168,372,179,890,1077,24,88,14,12,54,52,332,126,164,51,119,78,652,396,288,1059,615,382,80,116,244,16,303,904,310,362,251,324,379
"Animal Pathogen-Lichen Parasite-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph",16,29,9,11,3,8,0,0,0,0,43,21,10,0,0,0,24,8,6,0,0,0,21,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Animal Pathogen-Plant Pathogen-Undefined Saprotroph",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Animal Pathogen-Undefined Saprotroph",0,12,13,8,23,15,3,4,4,5,5,69,2,12,0,0,4,0,9,0,0,4,7,4,0,14,0,5,0,7,0,0,0,0,2,0,11,12,4,12,41,11,0,0,0,0,19
"Arbuscular Mycorrhizal",0,2,55,24,134,22,11,40,13,11,44,15,79,22,182,13,67,124,41,18,150,202,232,76,26,89,35,43,69,144,171,51,56,123,86,65,60,4,7,47,24,31,88,59,101,54,72
"Bryophyte Parasite-Ectomycorrhizal-Litter Saprotroph-Wood Saprotroph",6,4,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,14,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"Dung Saprotroph-Endophyte-Plant Pathogen-Undefined Saprotroph",96,82,12,26,10,20,21,8,25,19,23,106,2,3,2,0,0,0,26,49,37,45,47,16,0,0,13,9,3,0,4,0,0,0,0,0,0,5,0,0,0,4,0,0,10,6,0
"Dung Saprotroph-Plant Parasite-Soil Saprotroph-Undefined Saprotroph-Wood Saprotroph",5,0,9,2,17,123,0,0,5,21,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,5,4,0,0,3,0,0,0,2,95,0,10,66,20,75,0,0,0,0,0
"Dung Saprotroph-Plant Saprotroph",6,15,2,3,11,34,26,69,8,0,4,5,5,7,3,13,0,2,18,26,21,41,44,41,0,3,5,0,0,5,0,0,0,4,13,78,4,0,3,2,3,2,20,14,10,5,0
"Dung Saprotroph-Plant Saprotroph-Soil Saprotroph",0,0,5,6,0,66,4,9,0,0,18,0,0,0,0,0,0,0,42,3,11,9,20,0,0,0,2,0,0,6,0,0,0,0,0,0,0,2,0,0,3,4,0,2,0,0,0
"Dung Saprotroph-Plant Saprotroph-Wood Saprotroph",14,0,17,24,43,55,12,5,19,19,23,4,0,10,5,0,0,0,9,19,6,13,13,17,0,0,0,0,3,0,0,0,0,0,5,0,3,0,65,21,0,0,0,0,0,0,0
"Dung Saprotroph-Soil Saprotroph",5,5,92,26,22,22,24,24,2,0,14,2,14,0,0,21,0,0,8,5,6,3,21,5,10,10,57,3,0,0,0,0,5,2,6,4,4,3,4,3,18,9,5,3,0,0,0
"Dung Saprotroph-Soil Saprotroph-Wood Saprotroph",0,0,16,17,78,9,3,6,0,0,12,0,0,0,0,0,0,0,37,5,0,0,0,7,0,0,0,0,0,0,7,0,0,35,195,0,0,0,0,0,0,0,0,0,5,0,0
"Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph",465,370,324,220,179,292,603,684,687,629,249,173,146,141,54,73,143,163,340,598,75,114,298,113,359,518,574,591,277,307,108,84,55,58,60,18,245,508,345,328,285,530,62,61,123,103,212
"Ectomycorrhizal",0,0,0,0,0,4,8,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,2,10,0,0,13
"Ectomycorrhizal-Fungal Parasite",0,3,0,6,5,0,1107,0,473,9,0,9,0,13,11,12,2,0,50,0,22,10,24,4,0,7,11,19,0,0,11,0,477,27,37,0,142,25,174,0,3,62,36,0,0,0,931
"Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph",0,2,0,0,0,0,0,0,0,0,43,9,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,4,0,0,0,0,0,0,0
"Ectomycorrhizal-Undefined Saprotroph",61,101,41,75,76,73,25,38,31,18,43,22,39,20,15,5,13,68,40,18,11,11,485,29,263,223,827,950,705,774,55,188,19,40,53,22,225,267,331,658,115,435,45,404,29,77,68
"Ectomycorrhizal-Undefined Saprotroph-Wood Saprotroph",0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Endophyte-Insect Pathogen",2,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Endophyte-Leaf Saprotroph-Plant Pathogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph",99,24,7,12,11,2,93,58,30,54,38,13,134,256,45,46,0,11,9,27,12,79,37,32,8,0,6,0,0,8,32,49,38,82,353,94,39,36,7,74,7,10,36,60,165,31,159
"Endophyte-Plant Pathogen",32,18,0,5,0,0,16,0,3,3,0,5,2,60,3,0,5,4,0,40,0,12,11,9,0,0,4,0,0,4,13,5,34,0,0,0,0,0,0,0,0,0,5,12,7,3,0
"Endophyte-Plant Pathogen-Plant Saprotroph",0,2,3,0,3,0,5,4,4,5,0,0,0,0,0,0,0,0,13,29,11,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Endophyte-Plant Pathogen-Undefined Saprotroph",0,0,0,7,22,0,185,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,218,16,6,12,18,45,0,0,0,0,0
"Endophyte-Plant Pathogen-Wood Saprotroph",9,2,11,11,6,12,0,3,13,11,14,10,6,15,7,10,8,0,0,18,7,34,0,2,8,4,69,16,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Endophyte-Undefined Saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Epiphyte",3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fungal Parasite",138,130,47,89,79,180,407,314,193,204,29,14,166,101,102,119,42,151,198,171,213,261,191,85,39,24,102,39,49,71,202,121,98,78,124,102,0,0,0,19,0,0,135,106,124,238,163
"Fungal Parasite-Litter Saprotroph-Undefined Saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fungal Parasite-Plant Pathogen-Plant Saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,2,13,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,11,17,0,0,0,0,0,0,0,0,0,4,8
"Fungal Parasite-Wood Saprotroph",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,11,15,0,0,0,0,0
"Insect Pathogen",0,0,9,19,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lichen Parasite-Lichenized",0,0,0,0,0,0,0,0,0,0,0,0,36,96,134,0,305,27,0,3,0,0,0,0,232,7,0,0,0,0,20,31,89,82,6,168,0,0,0,0,0,0,71,0,8,0,11
"Lichen Parasite-Wood Saprotroph",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lichenized",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lichenized-Undefined Saprotroph",15,2,9,17,48,23,0,19,2,7,168,22,28,90,414,287,254,829,0,0,71,22,0,14,412,645,82,14,376,420,221,435,87,56,243,622,90,0,12,48,32,33,36,9,205,158,3
"Lichenized-Wood Saprotroph",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"Litter Saprotroph-Soil Saprotroph-Wood Saprotroph",61,32,34,17,20,18,25,32,77,94,80,49,0,17,0,5,42,20,12,33,16,58,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,72,77,0,0,5,0,0,0,0,0
"NULL",0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Orchid Mycorrhizal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plant Pathogen",53,3,26,45,65,134,40,27,25,65,199,63,9,35,116,10,27,68,185,251,60,30,68,106,165,74,36,35,0,10,42,99,202,18,30,15,11,21,21,28,48,17,24,25,204,17,199
"Plant Pathogen-Plant Saprotroph",4,0,0,5,5,7,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,3,3,0,4,11,0,0,0,0,0
"Plant Pathogen-Undefined Parasite-Undefined Saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0
"Plant Pathogen-Undefined Saprotroph",25,35,0,0,0,0,3,0,18,0,5,0,0,0,0,0,0,2,2,0,0,0,0,33,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0
"Plant Pathogen-Wood Saprotroph",59,35,33,65,59,80,88,111,64,59,104,33,55,39,24,28,33,26,80,68,73,88,144,54,9,9,14,11,23,30,27,18,26,15,23,14,14,22,17,29,25,40,6,31,12,9,9
"Plant Saprotroph",0,0,2,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Plant Saprotroph-Wood Saprotroph",236,418,492,390,358,739,302,247,393,351,393,558,103,308,316,131,243,287,121,470,45,104,120,152,240,155,158,297,196,198,202,198,93,70,120,132,454,258,239,449,178,585,57,99,190,192,268
"Soil Saprotroph",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soil Saprotroph-Undefined Saprotroph",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0
"Undefined Saprotroph",709,635,355,619,1395,1256,769,546,590,269,471,124,183,346,421,76,541,907,998,1002,258,130,1068,1165,1535,1561,710,581,905,862,236,188,287,307,321,713,623,212,326,429,535,503,402,854,203,489,870
"Undefined Saprotroph-Wood Saprotroph",0,16,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Wood Saprotroph",81,121,198,126,87,87,110,135,75,118,133,72,40,199,177,28,110,89,7,24,60,33,41,21,12,3,10,21,63,140,61,88,58,42,50,84,22,69,11,131,200,389,59,69,81,84,137
