OTU,Family,Substrate,,,,
Talaromyces,Trichocomaceae,Litter,,,,
Pseudeurotium,Pseudeurotiaceae,Plant,,,,
Chaetosphaeriaceae,Chaetosphaeriaceae,Wood,,,,
Lasiosphaeriaceae,Lasiosphaeriaceae,Unknown,,,,
Herpotrichiellaceae,Herpotrichiellaceae,Unknown,,,,
Leohumicola,Incertae sedis,Soil,,,,
Clavulinopsis,Clavariaceae,Soil,,,,
Penicillium,Aspergillaceae,Wood,,,,
Phallus,Phallaceae,Litter,,,,
Hygrophoraceae,Hygrophoraceae,Soil,,,,
Ramicandelaber,Kickxellaceae,Soil,,,,
Oidiodendron,Myxotrichaceae,Soil,,,,
Ganoderma,Ganodermataceae,Wood,,,,
,,,,,,