Transect,Plot,Sample,Phopspotase (mg/Kg FW),NAG (mg/Kg FW),BG (mg/Kg FW)
Forest,Forest_1,Forest_1A,0.023528284,0.009999621,0.023528284
Forest,Forest_1,Forest_1B,0.023069528,0.009799846,0.023069528
Forest,Forest_2,Forest_2A,0.022830239,0.01593838,0.022830239
Forest,Forest_2,Forest_2B,0.02307944,0.016682995,0.02307944
Forest,Forest_3,Forest_3B,0.022825991,0.006766902,0.022825991
Forest_Edge_Exterior,Forest_Edge_Exterior_1,Forest_Edge_Exterior_1A,0.022844398,0.024274435,0.022844398
Forest_Edge_Exterior,Forest_Edge_Exterior_1,Forest_Edge_Exterior_1B,0.02232051,0.016773801,0.02232051
Forest_Edge_Exterior,Forest_Edge_Exterior_2,Forest_Edge_Exterior_2A,0.022496084,0.01851729,0.022496084
Forest_Edge_Exterior,Forest_Edge_Exterior_2,Forest_Edge_Exterior_2B,0.02278493,0.017500255,0.02278493
Forest_Edge_Exterior,Forest_Edge_Exterior_3,Forest_Edge_Exterior_3A,0.022535729,0.01702806,0.022535729
Forest_Edge_Exterior,Forest_Edge_Exterior_3,Forest_Edge_Exterior_3B,0.022524402,0.009418458,0.022524402
Forest_Edge_Interior,Forest_Edge_Interior_1,Forest_Edge_Interior_1B,0.023403684,0.005332156,0.023403684
Forest_Edge_Interior,Forest_Edge_Interior_2,Forest_Edge_Interior_2A,0.022756611,0.007366227,0.022756611
Forest_Edge_Interior,Forest_Edge_Interior_2,Forest_Edge_Interior_2B,0.023085103,0.018408322,0.023085103
Forest_Edge_Interior,Forest_Edge_Interior_3,Forest_Edge_Interior_3A,0.02270847,0.016791963,0.02270847
Forest_Edge_Interior,Forest_Edge_Interior_3,Forest_Edge_Interior_3B,0.022796257,0.014376504,0.022796257
Grass_Far,Grass_Far_1,Grass_Far_1A,0.02255272,0.016791963,0.02255272
Grass_Far,Grass_Far_2,Grass_Far_2A,0.022607941,0.019770423,0.022607941
Grass_Far,Grass_Far_2,Grass_Far_2B,0.022581038,-0.00342161,0.022581038
Grass_Far,Grass_Far_3,Grass_Far_3A,0.0228713,0.022549108,0.0228713
Grass_Far,Grass_Far_3,Grass_Far_3B,0.02316581,0.02881477,0.02316581
Grass_Near,Grass_Near_1,Grass_Near_1A,0.023198376,0.009418458,0.023198376
Grass_Near,Grass_Near_1,Grass_Near_1B,0.023542443,0.010762397,0.023542443
Grass_Near,Grass_Near_2,Grass_Near_2A,0.02259095,0.012796468,0.02259095
Grass_Near,Grass_Near_2,Grass_Near_2B,0.023383861,0.033300622,0.023383861
Grass_Near,Grass_Near_3,Grass_Near_3A,0.023150235,0.009945137,0.023150235
Grass_Near,Grass_Near_3,Grass_Near_3B,0.022692895,0.009291329,0.022692895
Pioneer_Far,Pioneer_Far_1,Pioneer_Far_1A,0.022719798,0.019516164,0.022719798
Pioneer_Far,Pioneer_Far_1,Pioneer_Far_1B,0.022998733,0.018335677,0.022998733
Pioneer_Far,Pioneer_Far_2,Pioneer_Far_2A,0.022534313,0.014903183,0.022534313
Pioneer_Far,Pioneer_Far_2,Pioneer_Far_2B,0.023477311,0.014376504,0.023477311
Pioneer_Far,Pioneer_Far_3,Pioneer_Far_3A,0.023906332,0.007802099,0.023906332
Pioneer_Far,Pioneer_Far_3,Pioneer_Far_3B,0.023032714,0.010853204,0.023032714
Pioneer_Near,Pioneer_Near_1,Pioneer_Near_1A,0.023059617,0.019770423,0.023059617
Pioneer_Near,Pioneer_Near_1,Pioneer_Near_1B,0.022775018,-0.004220709,0.022775018
Pioneer_Near,Pioneer_Near_2,Pioneer_Near_2A,0.022629179,0.0289419,0.022629179
Pioneer_Near,Pioneer_Near_2,Pioneer_Near_2B,0.022949176,0.012723822,0.022949176
Pioneer_Near,Pioneer_Near_3,Pioneer_Near_3A,0.023123333,0.013250501,0.023123333
Pioneer_Near,Pioneer_Near_3,Pioneer_Near_3B,0.023272004,0.011052979,0.023272004
UMNR,UMNR_1,UMNR_1A,0.022341749,0.018335677,0.022341749
UMNR,UMNR_1,UMNR_1B,0.022201574,0.016773801,0.022201574
UMNR,UMNR_2,UMNR_2B,0.023049705,0.019516164,0.023049705
UMNR,UMNR_3,UMNR_3A,0.022278033,0.022549108,0.022278033