Transect,Plot,Median_DBH(cm)
Forest,Forest_1,4.5
Forest,Forest_2,1.65
Forest,Forest_3,1.9
Forest_Edge_Interior,Forest_Edge_Interior_1,2.1
Forest_Edge_Interior,Forest_Edge_Interior_2,5.4
Forest_Edge_Interior,Forest_Edge_Interior_3,1.8
Forest_Edge_Exterior,Forest_Edge_Exterior_1,1.3
Forest_Edge_Exterior,Forest_Edge_Exterior_2,0
Forest_Edge_Exterior,Forest_Edge_Exterior_3,3
Pioneer_Near,Pioneer_Near_1,1
Pioneer_Near,Pioneer_Near_2,0.9
Pioneer_Near,Pioneer_Near_3,1.05
Pioneer_Far,Pioneer_Far_1,2.1
Pioneer_Far,Pioneer_Far_2,2.8
Pioneer_Far,Pioneer_Far_3,7.5
Grass_Near,Grass_Near_1,5.25
Grass_Near,Grass_Near_2,1
Grass_Near,Grass_Near_3,1.8
Grass_Far,Grass_Far_1,0
Grass_Far,Grass_Far_2,0
Grass_Far,Grass_Far_3,0
UMNR,UMNR_1,1.15
UMNR,UMNR_2,3.2
UMNR,UMNR_3,2