Transect,Plot,Tin_Mass(g),Tin_Fresh_Soil_Mass(g),Tin_Dry_Soil_Mass(g),Dry_Weight_No_Tin_Mass(g),Water_Content
Forest ,Forest_1,1.98,17.68,12.1,10.12,3.6
Forest ,Forest_2,2.08,19.27,12.64,10.56,4.55
Forest ,Forest_3,2.01,23.86,15.39,13.38,6.46
Forest_Edge_Interior,Forest_Edge_Interior_1,1.48,21.45,14.42,12.94,5.55
Forest_Edge_Interior,Forest_Edge_Interior_2,1.99,24.73,16.56,14.57,6.18
Forest_Edge_Interior,Forest_Edge_Interior_3,2.01,31.11,21.23,19.22,7.87
Forest_Edge_Exterior,Forest_Edge_Exterior_1,2.02,27.08,18.27,16.25,6.79
Forest_Edge_Interior,Forest_Edge_Exterior_2,2.03,36.81,25.81,23.78,8.97
Forest_Edge_Interior,Forest_Edge_Exterior_3,3.03,23.96,16.6,13.57,4.33
Pioneer_Near,Pioneer_Near_1,1.99,19.66,12.06,10.07,5.61
Pioneer_Near,Pioneer_Near_2,2.03,23.29,15.37,13.34,5.89
Pioneer_Near,Pioneer_Near_3,2.01,20.005,13.97,11.96,4.025
Pioneer_Far,Pioneer_Far_1,2.05,20.52,13.67,11.62,4.8
Pioneer_Far,Pioneer_Far_2,1.98,17.18,10.07,8.09,5.13
Pioneer_Far,Pioneer_Far_3,2.04,26.92,17.88,15.84,7
Grass_Near,Grass_Near_1,1.69,27.77,19.31,17.62,6.77
Grass_Near,Grass_Near_2,2.03,22.46,15.55,13.52,4.88
Grass_Near,Grass_Near_3,1.75,13.57,9.81,8.06,2.01
Grass_Far,Grass_Far_1,2.02,27.02,18.65,16.63,6.35
Grass_Far,Grass_Far_2,1.51,31.38,21.92,20.41,7.95
Grass_Far,Grass_Far_3,2.01,25.77,17.9,15.89,5.86
UMNR,UMNR_1,1.68,17.08,10.51,8.83,4.89
UMNR,UMNR_2,2,14.24,8.75,6.75,3.49
UMNR,UMNR_3,1.7,13.17,8.16,6.46,3.31